"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/21 10:24:01 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Assez souvent","Jamais","Rarement","Rarement","Parfois","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","Rarement","Jamais"
"2018/04/21 10:24:37 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","Rarement","Jamais"
"2018/04/21 10:50:07 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Plus d'un an","12h - 16h","50/50","En voiture","Corporelles;Familiales","","Je ne sais pas","Facture lié au non respect du code de la route de la part des piétons ","S’est plutôt améliorée","Rarement","Rarement","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","Parfois","Parfois"
"2018/04/21 11:10:05 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Parfois","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Jamais","Parfois","Rarement"
"2018/04/21 11:35:22 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Parfois","Rarement","Rarement","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Parfois","Rarement"
"2018/04/21 11:38:48 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Rarement","Parfois","Parfois","Fréquemment","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Rarement","Rarement","Rarement"
"2018/04/22 8:50:18 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Plus d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","","Congestion de la route","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Jamais","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Assez souvent","Parfois"
"2018/04/22 8:50:32 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Rarement","Parfois","Parfois","Jamais"
"2018/04/22 1:55:57 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Parfois","Parfois","Rarement","Rarement","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","Rarement","Parfois"
"2018/04/22 3:42:06 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Jamais","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Rarement","Jamais"
"2018/04/22 4:10:27 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Jamais","Rarement","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","Jamais","Jamais"
"2018/04/22 6:33:48 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","","J'était en retard;J'était malade;J'était de mauvaise humeur;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Fréquemment","Assez souvent","Rarement","Rarement","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Fréquemment","Parfois","Rarement"
"2018/04/23 12:03:59 AM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Rarement","Parfois","Jamais"
"2018/04/23 6:35:56 AM GMT+1","Une femme","Plus de 42 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Corporelles;Psychologiques;Matérielles;Familiales;Professionnelles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Vitesse","S’est plutôt améliorée","Assez souvent","Rarement","Rarement","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Rarement","Rarement","Jamais","Assez souvent","Rarement"
"2018/04/23 8:54:22 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Congestion de la route","Non respect de la distance de sécurtié autobus roulant derrière moi","N’a pas changée","Presque toujours","Parfois","Jamais","Rarement","Rarement","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Parfois","Parfois","Jamais"
"2018/04/23 8:59:29 AM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Jamais","Jamais"
"2018/04/23 9:24:29 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Assez souvent","Parfois","Rarement","Fréquemment","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Jamais","Assez souvent","Parfois"
"2018/04/23 9:33:32 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Rarement","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Rarement"
"2018/04/23 9:41:22 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Oui","Plus d'un an","4h - 8h","Responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Parfois","Rarement","Rarement","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Assez souvent","Rarement"
"2018/04/23 10:01:49 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Jamais","Jamais","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Rarement","Parfois","Jamais"
"2018/04/23 10:52:02 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Parfois","Jamais","Assez souvent","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Rarement","Parfois","Rarement"
"2018/04/23 10:52:36 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Assez souvent","Rarement","Jamais","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Parfois","Assez souvent","Rarement"
"2018/04/23 11:11:06 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Assez souvent","Parfois","Rarement","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Parfois","Assez souvent","Assez souvent"
"2018/04/23 11:17:32 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Parfois","Jamais","Rarement","Jamais"
"2018/04/23 11:21:04 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Plus d'un an","20h - 0h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage","S’est plutôt améliorée","Rarement","Rarement","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","Rarement","Jamais"
"2018/04/23 11:38:28 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Jamais","Jamais","Parfois","Presque toujours","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Rarement","Jamais","Fréquemment","Rarement"
"2018/04/23 11:39:11 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Rarement","Rarement","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Parfois","Parfois","Parfois"
"2018/04/23 11:44:14 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Jamais","Jamais","Parfois","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Jamais","Jamais"
"2018/04/23 11:58:13 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Rarement","Parfois","Rarement","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/04/23 12:26:32 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Rarement","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Assez souvent","Jamais"
"2018/04/23 12:36:13 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Jamais","Parfois","Jamais","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Rarement","Jamais"
"2018/04/23 12:50:31 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Assez souvent","Presque toujours","Parfois","Parfois","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Fréquemment","Jamais","Jamais","Parfois","Jamais"
"2018/04/23 1:04:22 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Parfois","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Jamais","Rarement","Rarement"
"2018/04/23 1:47:28 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Jamais","Parfois","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Jamais","Rarement","Jamais"
"2018/04/23 2:22:03 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Rarement","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Jamais","Jamais"
"2018/04/23 2:48:15 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Rarement","Jamais","Rarement","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Jamais","Rarement","Parfois","Rarement"
"2018/04/23 4:11:51 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Fréquemment","Assez souvent","Parfois","Jamais","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Rarement","Parfois","Assez souvent","Jamais"
"2018/04/23 7:08:59 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Parfois","Assez souvent","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Jamais","Rarement","Rarement","Rarement","Jamais"
"2018/04/23 7:59:13 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Assez souvent","Jamais","Jamais","Rarement","Rarement","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/04/24 1:16:09 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Rarement","Rarement"
"2018/04/24 10:11:45 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Parfois","Jamais","Jamais","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/04/24 10:11:55 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Fréquemment","Jamais","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Rarement","Jamais","Parfois","Parfois"
"2018/04/24 10:12:04 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Jamais","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Rarement","Jamais"
"2018/04/24 10:12:05 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Parfois","Assez souvent","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Rarement","Rarement"
